[control]genre,[control]player_id,[control]game,[output]arousal,[general]input_intensity,[general]input_diversity,[general]activity,[general]score,[general]bot_count,[general]bot_diversity,[general]bot_movement,[general]player_movement,[general]object_intensity,[general]object_diversity,[general]event_intensity,[general]event_diversity,key_press_count,idle_time,player_score,player_delta_distance,player_delta_rotation,visible_bot_count,bot_delta_distance,player_standing,player_speed,player_is_grounded,player_is_mid_air,player_is_crashing,player_is_off_road,player_gas_pedal,player_steering,player_lap,player_distance_to_way_point,player_respawn,bot_standing,bot_score,bot_speed,bot_is_grounded,bot_is_off_road,bot_is_crashing,bot_gas_pedal,bot_steering,bot_lap,bot_distance_to_way_point,bot_delta_rotation,bot_player_distance,bot_respawn,visible_jump_count,Binary_Arousal_Class
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,TinyCars,0.015625,0.11217948724999999,0.111111111,0.22779308333333334,0.0,1.0,1.0,0.0010681604166666667,0.0,0.0,0.0,0.0,0.0,0.11217948724999999,0.7722069166666667,0.0,0.0,0.0,1.0,0.0010681604166666667,0.041666666666666664,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.23846339399999997,0.0,0.039351854166666665,0.0,0.0033266665,1.0,0.0,0.0,0.024089444416666665,0.53642409,0.0,0.3692482723333333,0.0015945179999999998,0.14455584291666665,0.0,0.0,0.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,TinyCars,0.21538978500000003,0.29807692324999996,0.30555555525,0.7177544166666667,0.0,1.0,1.0,0.5574397275833333,0.432326332,0.0,0.0,0.034722232666666665,0.041666666666666664,0.29807692324999996,0.2822455833333333,0.0,0.432326332,0.0035427316666666667,1.0,0.5574397275833333,1.0,0.5008703975000001,1.0,0.0,0.0,0.0,0.8272362875,0.5,0.0,0.16830968225,0.0,0.75,0.034850826333333335,0.9100075146666667,1.0,0.0,0.06944446525,0.9494431945833334,0.6316980149166667,0.0,0.3955526946666667,0.11959544066666666,0.3274524939166667,0.0,0.0,0.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,TinyCars,0.36834677416666667,0.5897435895833333,0.5833333335,1.0,0.046250000000000006,1.0,1.0,0.6805083856666667,0.7875553988333333,0.0,0.0,0.1625,0.20833333333333334,0.5897435895833333,0.0,0.046250000000000006,0.7875553988333333,0.4998789209166667,1.0,0.6805083856666667,1.0,0.81915306225,0.975,0.024999999999999998,0.0,0.3,1.0,0.706652375,0.0,0.21306419983333333,0.0,0.75,0.09720124983333334,0.9626097094166667,1.0,0.0,0.0,0.9043127778333333,0.7526090626666667,0.0,0.34588828683333334,0.30750096391666665,0.2922999876666667,0.0,0.0,0.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,TinyCars,0.46740591391666664,0.47435897450000003,0.4722222221666667,0.9500000000000001,0.05000000000000001,1.0,1.0,0.6874907658333332,0.06805847583333334,0.0,0.0,0.5166666666666667,0.5416666666666666,0.47435897450000003,0.049999999999999996,0.05000000000000001,0.06805847583333334,0.015534333749999999,1.0,0.6874907658333332,1.0,0.06603979158333333,1.0,0.0,0.03333333333333333,1.0,0.49617487499999996,0.34435808333333334,0.0,0.09046759508333334,0.0,0.75,0.17026750033333335,0.9618654681666667,1.0,0.0,0.0,0.8984105556666666,0.722406345,0.0,0.34198970366666664,0.3236535448333333,0.49799834783333335,0.0,0.0,0.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,TinyCars,0.623759305076923,0.3165680473846154,0.30769230753846155,0.6353146615384616,0.05,0.0,0.0,0.0,0.16111497907692307,0.0,0.0,0.19551280769230767,0.23076923076923078,0.3165680473846154,0.36468533846153844,0.05,0.16111497907692307,0.02892418323076923,0.0,0.0,1.0,0.20115605384615384,0.9807692307692307,0.019230769230769232,0.0,0.3717948461538461,0.6072476923076923,0.26934063076923076,0.0,0.0997188043076923,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.53642409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,TinyCars,0.6400293255454546,0.7902097903636364,0.6666666668181818,0.9848484545454546,0.05,0.0,0.0,0.0,0.039266221272727275,0.0,0.0,0.5,0.5,0.7902097903636364,0.015151545454545456,0.05,0.039266221272727275,0.05711876118181818,0.0,0.0,1.0,0.04829282581818182,1.0,0.0,0.0,1.0,0.8572083181818182,0.963580409090909,0.0,0.11542591481818182,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.53642409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,TinyCars,0.7862903229999999,0.6634615384166667,0.5555555557499999,0.8083333333333332,0.05000000000000001,0.0,0.0,0.0,0.3006244875,0.0,0.0,0.21969695833333333,0.25,0.6634615384166667,0.19166666666666665,0.05000000000000001,0.3006244875,0.26737079825,0.0,0.0,1.0,0.35760783458333334,1.0,0.0,0.0,0.43939391666666666,0.10623985416666666,0.8819505875,0.0,0.14704819524999999,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.53642409,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,TinyCars,0.793010753,0.0865384615,0.13888888875000002,0.19696966666666668,0.05000000000000001,0.0,0.0,0.0,0.006997988166666667,0.0,0.0,0.0,0.0,0.0865384615,0.8030303333333334,0.05000000000000001,0.006997988166666667,0.0004878071666666667,0.0,0.0,1.0,0.007503915333333333,1.0,0.0,0.0,0.0,0.5218566516666666,0.4532048958333333,0.0,0.24683679349999998,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.53642409,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,TinyCars,0.8380376343333333,0.6153846154166667,0.5555555556666666,0.9416666666666668,0.05454541666666667,0.0,0.0,0.0,0.5747152920833333,0.0,0.0,0.2125,0.25,0.6153846154166667,0.05833333333333333,0.05454541666666667,0.5747152920833333,0.38554638625,0.0,0.0,1.0,0.6695343735833333,0.9833333333333334,0.016666666666666666,0.0,0.4083333333333334,0.9889273333333333,0.70440304125,0.0,0.14034327233333335,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.53642409,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,TinyCars,0.8998655913333334,0.62179487175,0.5277777778333334,1.0,0.10000000000000002,0.0,0.0,0.0,0.625021839,0.0,0.0,0.14772729166666668,0.16666666666666666,0.62179487175,0.0,0.10000000000000002,0.625021839,0.30737875508333334,0.0,0.0,1.0,0.7805349313333334,0.9393939166666666,0.06060608333333333,0.0,0.23484850000000002,1.0,0.5627863916666667,0.0,0.25469046641666665,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.53642409,0.0,0.0,0.0,0.0,0.0,0.0,1.0
