[control]genre,[control]player_id,[control]game,[output]arousal,[general]input_intensity,[general]input_diversity,[general]activity,[general]score,[general]bot_count,[general]bot_diversity,[general]bot_movement,[general]player_movement,[general]object_intensity,[general]object_diversity,[general]event_intensity,[general]event_diversity,key_press_count,idle_time,player_score,player_delta_distance,player_delta_rotation,visible_bot_count,bot_delta_distance,player_standing,player_speed,player_speed_boost,player_is_grounded,player_is_mid_air,player_is_crashing,player_gas_pedal,player_steering,player_lap,player_distance_to_way_point,player_respawn,bot_standing,bot_score,bot_speed,bot_speed_boost,bot_is_grounded,bot_is_crashing,bot_gas_pedal,bot_steering,bot_lap,bot_distance_to_way_point,bot_delta_rotation,bot_player_distance,bot_respawn,visible_jump_count,visible_speed_boost_count,visible_obstacle_count,Binary_Arousal_Class
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,ApexSpeed,0.0,0.06481481475,0.16666666666666666,0.09126983333333333,0.0,0.666666667,1.0,0.0007506954166666668,0.00017550633333333334,0.030927838,0.333333333,0.031111133333333332,0.13888888875000002,0.06481481475,0.9087301666666666,0.0,0.00017550633333333334,0.0,0.666666667,0.0007506954166666668,0.022222216666666666,0.0018672776666666666,0.0,0.9222221666666667,0.07777783333333334,0.0,0.02777775,0.5069244583333333,0.0,0.6175951745,0.0,0.015782822,0.0,0.0013927485833333333,0.0,1.0,0.0,0.026041666666666668,0.43672837925,0.0,0.8417907730833333,0.0013888863333333331,0.4820043539166667,0.0,0.0,0.0,0.068965517,0.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,ApexSpeed,0.008310249333333334,0.148148148,0.5833333333333334,0.27222225,0.0,0.5509258334166667,1.0,0.20572301225,0.027031940666666667,0.030927838,0.333333333,0.05222223333333333,0.11111111108333334,0.148148148,0.72777775,0.0,0.027031940666666667,0.03774523233333333,0.5509258334166667,0.20572301225,0.7916666666666666,0.2667891479166667,0.0,0.9694444166666667,0.030555583333333334,0.03333333333333333,1.0,0.49611764583333334,0.0,0.49339381433333335,0.0,0.6163910984166666,0.0,0.2863983131666667,0.0,0.9632575833333333,0.06666666666666667,0.9883207291666666,0.4809202774166667,0.0,0.69756221275,0.06792931816666667,0.3545285456666667,0.0,0.0,0.0,0.068965517,0.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,ApexSpeed,0.030470914249999998,0.26851851833333334,0.75,0.422123,0.015833333333333335,0.21951058325000003,0.6666666666666666,0.2853226368333333,0.042404941583333335,0.030927838,0.333333333,0.1125,0.13888888875000002,0.26851851833333334,0.577877,0.015833333333333335,0.042404941583333335,0.13080457575,0.21951058325000003,0.2853226368333333,0.5520833333333334,0.41663641474999996,0.0,0.71875,0.28125,0.0,1.0,0.5124997291666666,0.0,0.25458233766666666,0.0,0.6295094695833333,0.013333333333333334,0.3287279218333333,0.0,0.625,0.0,0.663194375,0.4598765736666666,0.0,0.31692324433333335,0.008333333333333333,0.12933115933333333,0.0,0.0,0.0,0.068965517,0.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,ApexSpeed,0.02931671283333333,0.25,0.5,0.35694441666666665,0.041111100000000005,0.37407425008333334,0.75,0.30425433441666666,0.0434251865,0.09291240633333332,0.27777777750000004,0.12166666666666666,0.22222222208333334,0.25,0.6430555833333333,0.041111100000000005,0.0434251865,0.16070001541666667,0.37407425008333334,0.30425433441666666,0.9111111666666667,0.34180535808333334,0.0,0.75,0.25,0.020833333333333332,1.0,0.7057934033333333,0.0,0.18237426599999998,0.0,0.549715909,0.04305553333333333,0.3182034645,0.0,0.7055555,0.03333333333333333,0.6809027083333333,0.7145062035833334,0.0,0.31146627033333335,0.37291674241666667,0.39148645375,0.0,0.1861111666666667,0.0,0.02107279875,0.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,ApexSpeed,0.04593721133333334,0.04629629625,0.3333333333333333,0.13888883333333332,0.08555556666666668,0.42592611100000005,1.0,0.49582371491666666,0.07526146033333334,0.17611688133333334,0.5555555555,0.2433333,0.3055555554166667,0.04629629625,0.8611111666666668,0.08555556666666668,0.07526146033333334,0.05014270225,0.42592611100000005,0.49582371491666666,0.8777778333333334,0.39374131100000004,0.0,0.6666666666666666,0.3333333333333333,0.111111,1.0,0.5468483333333333,0.0,0.3060682429166667,0.0,0.6982323865,0.08444443333333333,0.3620826483333333,0.1638889166666667,0.41666658333333334,0.0,0.9684027083333334,0.47067902749999996,0.0,0.37145394941666665,0.26111113641666667,0.35516465766666666,0.0,0.20833337500000002,0.06944445833333333,0.11494252858333333,0.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,ApexSpeed,0.06278855,0.08333333325,0.5833333333333334,0.19444441666666668,0.12,0.0,0.0,0.0,0.07640539233333334,0.5690507219166666,1.0,0.23055553333333334,0.27777777750000004,0.08333333325,0.8055555833333333,0.12,0.07640539233333334,0.04629876816666667,0.0,0.0,0.4000000000000001,0.473293828,0.0,0.42361116666666665,0.5763888333333334,0.0,1.0,0.4756377291666667,0.0,0.34534229058333327,0.0,0.227272727,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444,0.0,0.0,0.0,0.0,0.0,0.5,0.5208333749999999,0.24808419558333336,0.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,ApexSpeed,0.082179132,0.06481481475,0.25,0.15277775000000002,0.155,0.0,0.0,0.0,0.10784455933333333,0.41917961600000003,0.8055555554999999,0.3277778,0.33333333325,0.06481481475,0.8472222500000001,0.155,0.10784455933333333,0.060251781750000004,0.0,0.0,0.4000000000000001,0.6737058428333333,0.375,0.5555555,0.44444449999999996,0.0,1.0,0.5698259166666667,0.0,0.5906285330833333,0.0,0.227272727,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444,0.0,0.0,0.0,0.0,0.0,0.36111112500000003,0.29861108333333336,0.2750000575,0.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,ApexSpeed,0.06486611275,0.12037037033333332,0.3333333333333333,0.18055558333333332,0.18333333333333335,0.0,0.0,0.0,0.044579068500000006,0.026632314416666667,0.30555555525,0.2063492,0.24999999975,0.12037037033333332,0.8194444166666667,0.18333333333333335,0.044579068500000006,0.020182532083333333,0.0,0.0,0.4000000000000001,0.5436205815,0.0,0.484127,0.515873,0.0,1.0,0.5525085833333333,0.0,0.4335850683333333,0.0,0.227272727,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05938699416666667,0.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,ApexSpeed,0.07132964024999999,0.27777777766666667,0.75,0.4484126666666666,0.20000000000000004,0.0,0.0,0.0,0.03863905308333333,0.42426825975,0.9444444445000001,0.12579363333333335,0.19444444425,0.27777777766666667,0.5515873333333333,0.20000000000000004,0.03863905308333333,0.12213456808333334,0.0,0.0,0.4000000000000001,0.3765506309166667,0.0,0.6855159166666667,0.31448408333333333,0.0,1.0,0.6025269999999999,0.0,0.4875391615,0.0,0.227272727,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.44990079166666663,0.07950189633333334,0.0
Racing,70432028-81AF-D67A-251E-D2F807AB93CF,ApexSpeed,0.10387811649999999,0.22222222216666665,0.5,0.26785716666666665,0.22083333333333333,0.0,0.0,0.0,0.04461429458333333,0.139148431,0.52777777775,0.31349203333333336,0.38888888875,0.22222222216666665,0.7321428333333334,0.22083333333333333,0.04461429458333333,0.06632414358333334,0.0,0.0,0.4000000000000001,0.5553874463333334,0.23214283333333333,0.49603175,0.50396825,0.047619,1.0,0.5778835833333333,0.0,0.35569888141666667,0.0,0.227272727,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444,0.0,0.0,0.0,0.0,0.0,0.125,0.11631945833333333,0.068965517,0.0
