[control]genre,[control]player_id,[control]game,[output]arousal,[general]input_intensity,[general]input_diversity,[general]activity,[general]score,[general]bot_count,[general]bot_diversity,[general]bot_movement,[general]player_movement,[general]object_intensity,[general]object_diversity,[general]event_intensity,[general]event_diversity,key_press_count,idle_time,player_score,player_kill_count,player_speed_x,player_speed_y,player_delta_distance,player_health,player_damaged,visible_bot_count,bot_speed_x,bot_speed_y,bot_delta_distance,bot_health,pick_ups_visible,pick_up_player_disctance,player_death,player_is_grounded,bot_is_grounded,bot_player_distance,player_has_collisions,player_is_colliding_above,player_is_colliding_below,player_is_colliding_left,player_is_colliding_right,player_is_falling,player_is_jumping,player_point_pickup,player_power_pickup,player_has_powerup,bot_has_collisions,bot_is_colliding_below,bot_is_colliding_left,bot_is_colliding_right,bot_is_falling,Binary_Arousal_Class
Platformer,70432028-81AF-D67A-251E-D2F807AB93CF,Pirates!,0.0,0.05701754383333333,0.14583333333333334,0.17011041666666668,0.0,0.0,0.0,0.0,0.0007059914166666668,0.0,0.0,0.0,0.0,0.05701754383333333,0.8298895833333333,0.0,0.0,0.011620916666666667,0.0,0.0007059914166666668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Platformer,70432028-81AF-D67A-251E-D2F807AB93CF,Pirates!,0.0,0.21491228066666668,0.2708333333333333,0.5512819999999999,0.0,0.0,0.0,0.0,0.04130323683333333,0.0,0.0,0.2960398449166667,0.3958333333333333,0.21491228066666668,0.448718,0.0,0.0,0.13697026199999998,0.13133724158333335,0.04130323683333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5984848500000001,0.0,0.0,0.6462981666666666,0.08012833016666666,0.5984848500000001,0.0,0.3956875833333333,0.15415133333333333,0.422619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Platformer,70432028-81AF-D67A-251E-D2F807AB93CF,Pirates!,0.015053763666666666,0.27631578949999996,0.3541666666666667,0.69001825,0.0,0.0,0.0,0.0,0.024620658333333333,0.0,0.0,0.19831962116666668,0.2916666666666667,0.27631578949999996,0.30998175,0.0,0.0,0.2947605758333333,0.04765062691666666,0.024620658333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85993175,0.0,0.0,0.8777888333333334,0.03571428575,0.85993175,0.0,0.43452375000000004,0.08054447499999999,0.15435400833333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Platformer,70432028-81AF-D67A-251E-D2F807AB93CF,Pirates!,0.016129032249999998,0.18201754383333335,0.1875,0.510454825,0.0,0.0,0.0,0.0,0.042866117,0.0,0.0,0.12889843158333333,0.20833333333333334,0.18201754383333335,0.489545175,0.0,0.0,0.4581339933333333,0.07710317783333333,0.042866117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6458610833333334,0.0,0.0,0.65975,0.0,0.6458610833333334,0.0,0.013888916666666667,0.229138925,0.21527775000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Platformer,70432028-81AF-D67A-251E-D2F807AB93CF,Pirates!,0.10913978508333333,0.15350877183333334,0.2916666666666667,0.46119524166666664,0.0,0.20037899416666669,0.4583333333333333,0.08830283458333334,0.03611956983333333,0.07592593333333333,0.20833333333333334,0.21697439249999997,0.3333333333333333,0.15350877183333334,0.5388047583333334,0.0,0.08333333333333333,0.19295063333333332,0.07415354583333333,0.03611956983333333,1.0,0.0,0.20037899416666669,0.87588027775,0.015282555999999997,0.08830283458333334,0.9047619166666667,0.07592593333333333,0.06919748525000001,0.0,0.7121212583333333,0.8189394166666667,0.3775118204166667,0.7659932500000001,0.16161618666666666,0.7121212583333333,0.0,0.0,0.16666666666666666,0.3037878333333333,0.0,0.0,0.0,0.8189394166666667,0.8189394166666667,0.0,0.0,0.05606058333333334,0.0
Platformer,70432028-81AF-D67A-251E-D2F807AB93CF,Pirates!,0.053225806666666674,0.3223684209166667,0.3333333333333333,0.6558303166666667,0.0,0.0,0.0,0.0,0.056040661250000005,0.26944450000000003,0.7083333333333334,0.26963860700000003,0.4583333333333333,0.3223684209166667,0.34416968333333336,0.0,0.0,0.27781608333333335,0.16891063408333332,0.056040661250000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26944450000000003,0.27645146,0.0,0.48734733333333335,0.0,0.0,0.5559983000000001,0.11666686666666666,0.48734733333333335,0.0,0.029761883333333336,0.26961241666666663,0.542674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Platformer,70432028-81AF-D67A-251E-D2F807AB93CF,Pirates!,0.135483871,0.32675438591666667,0.375,0.86071425,0.11728395358333332,0.03375003375,0.08333333333333333,0.06594686366666666,0.04641627458333333,0.458547,0.75,0.21514970916666667,0.3125,0.32675438591666667,0.13928575,0.11728395358333332,0.0,0.46032955833333333,0.09198725099999999,0.04641627458333333,1.0,0.0,0.03375003375,0.12318069450000001,0.0027212503333333333,0.06594686366666666,0.16666666666666666,0.458547,0.41711607675,0.0,0.6695318333333334,0.15277775000000002,0.13225555125,0.6909964999999999,0.06439408941666667,0.6695318333333334,0.0,0.0,0.17567016666666668,0.344357,0.08333333333333333,0.08333333333333333,0.5277777499999999,0.15277775000000002,0.15277775000000002,0.07638911808333333,0.0,0.013888916666666667,0.0
Platformer,70432028-81AF-D67A-251E-D2F807AB93CF,Pirates!,0.2623655913333333,0.26096491225,0.2916666666666667,0.5704365833333334,0.25661379608333335,0.0,0.0,0.0,0.029743503666666667,0.3120268333333333,0.5,0.13712652816666668,0.22916666666666666,0.26096491225,0.42956341666666664,0.25661379608333335,0.0,0.3010216666666872,0.0663414865,0.029743503666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3120268333333333,0.3947128149166667,0.0,0.7420635,0.0,0.0,0.7559524166666667,0.04166679166666667,0.7420635,0.0,0.0,0.091727675,0.27083324999999997,0.08333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Platformer,70432028-81AF-D67A-251E-D2F807AB93CF,Pirates!,0.25860215049999996,0.20175438599999998,0.25,0.41111108333333335,0.34259259225,0.0,0.0,0.0,0.02899528875,0.38333333333333336,0.5,0.13789059991666666,0.20833333333333334,0.20175438599999998,0.5888889166666667,0.34259259225,0.0,0.23296775,0.07895822725,0.02899528875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38333333333333336,0.3143701881666667,0.0,0.6904380083333334,0.0,0.0,0.6904380083333334,0.0,0.6904380083333334,0.0,0.0,0.17708333333333334,0.22986108333333333,0.08333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Platformer,70432028-81AF-D67A-251E-D2F807AB93CF,Pirates!,0.16935483875000001,0.4013157894166666,0.3958333333333333,0.7185516666666666,0.444444444,0.0,0.0,0.0,0.02829453175,0.20000000000000004,0.5,0.14631461625,0.22916666666666666,0.4013157894166666,0.28144833333333336,0.444444444,0.0,0.26123474541666664,0.09154405316666665,0.02829453175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.41099740324999995,0.0,0.7376138,0.0,0.0,0.7582905000000001,0.06203006208333334,0.7376138,0.0,0.0,0.18465283333333335,0.2735469166666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
