[control]genre,[control]player_id,[control]game,[general]input_intensity,[general]input_diversity,[general]activity,[general]score,[general]bot_count,[general]bot_diversity,[general]bot_movement,[general]player_movement,[general]object_intensity,[general]object_diversity,[general]event_intensity,[general]event_diversity,key_press_count,idle_time,player_score,player_kill_count,player_speed_x,player_speed_y,player_speed_z,player_delta_distance,player_delta_rotation,player_health,player_healing,player_damaged,player_shooting,player_reloading,player_projectile_count,player_projectile_distance,reticle_delta_distance,player_crouching,player_sprinting,player_aim_at_enemy,player_aim_at_destructible,player_health_pickup,visible_bot_count,bot_speed_x,bot_speed_y,bot_speed_z,bot_delta_distance, bot_delta_rotation ,bot_health,bot_damaged,bot_shooting,bot_reloading,bot_projectile_count,bot_projectile_player_distance,bot_aim_at_player,pick_ups_visible,pick_up_player_disctance,destructible_count,objects_destroyed,player_death,player_tries_shoot_on_reload,Binary_Arousal_Class
Shooter,14027B3A-0AD6-CBA3-A600-42B3C0A4D933,TopDown,0.020833333333333332,0.02777777775,0.04545458333333333,0.0,0.20268269000000003,0.9166666666666666,0.32588793908333336,0.10973239483333334,0.42112795650000007,0.8333333333333334,0.0,0.0,0.020833333333333332,0.9545454166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.022166601083333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12146275708333333,0.0,0.0,0.0,0.0,0.0,0.20268269000000003,0.5404952606666666,0.0,0.45064392025000005,0.32588793908333336,0.012057166666666667,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.32613637916666666,0.7606199275000001,0.305555556,0.0,0.0,0.0,0.0
Shooter,14027B3A-0AD6-CBA3-A600-42B3C0A4D933,TopDown,0.12847222225,0.111111111,0.3,0.0,0.0879285165,0.5833333333333334,0.22217174825,0.061694576249999994,0.40067339825,0.8333333333333334,0.0,0.0,0.12847222225,0.7000000000000001,0.0,0.0,0.008986318416666667,0.0,0.23922833891666664,0.13804111108333333,0.03774563275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04237430325,0.0,0.0,0.0,0.0,0.0,0.0879285165,0.07048325433333334,0.0,0.46052367133333333,0.22217174825,1.0833333333333333e-06,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.2954545416666667,0.72891194925,0.305555556,0.0,0.0,0.0,0.0
Shooter,14027B3A-0AD6-CBA3-A600-42B3C0A4D933,TopDown,0.09027777775,0.222222222,0.228388,0.10138888908333332,0.8142082389166667,1.0,0.31598851491666663,0.08383607558333334,0.44949491025000005,0.3333333333333333,0.10718585525,0.3333333333333333,0.09027777775,0.7716120000000001,0.10138888908333332,0.08333333333333333,0.0,0.0,0.0,0.035529941,0.007580204166666667,0.8257576385833333,0.0,0.0416667125,0.22213791666666668,0.0,0.18917738416666666,0.2598125535,0.08612784891666665,0.0,0.0,0.0,0.0,0.0,0.8142082389166667,0.22537227491666667,0.0,0.29398713425,0.31598851491666663,0.056480416666666665,0.9887384166666666,0.032200708333333335,0.04940475,0.0,0.26887165416666664,0.22867390433333334,0.0,0.16203704166666666,0.24600318058333334,0.5122053241666666,0.0,0.0,0.0,1.0
Shooter,14027B3A-0AD6-CBA3-A600-42B3C0A4D933,TopDown,0.13541666666666666,0.19444444425,0.3305555833333333,0.166666667,0.7083462021666667,1.0,0.282013835,0.09009006658333334,0.333333333,0.0,0.08449075,0.14583333333333334,0.13541666666666666,0.6694444166666668,0.166666667,0.0,0.0,0.0,0.0,0.0,0.015459564166666667,0.777778333,0.0,0.0,0.337963,0.0,0.11213990741666667,0.15115228466666666,0.09972066966666666,0.0,0.0,0.0,0.0,0.0,0.7083462021666667,0.1911194905,0.0,0.47271695249999995,0.282013835,0.018641083333333332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Shooter,14027B3A-0AD6-CBA3-A600-42B3C0A4D933,TopDown,0.30902777766666667,0.24999999975,0.7129629999999999,0.166666667,0.7309990040000001,1.0,0.266316179,0.15506368225,0.47304070375,0.3333333333333333,0.0,0.0,0.30902777766666667,0.287037,0.166666667,0.0,0.0,0.0,0.5355444254166667,0.28808060766666665,0.12686133941666666,0.777778333,0.0,0.0,0.0,0.0,0.0,0.0,0.11755659475,0.0,0.0,0.0,0.0,0.0,0.7309990040000001,0.3593210900833333,0.0,0.28133800033333334,0.266316179,0.02494275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15909091666666667,0.13863977758333332,0.5504701389166666,0.0,0.0,0.0,0.0
Shooter,14027B3A-0AD6-CBA3-A600-42B3C0A4D933,TopDown,0.30208333341666666,0.3055555554166667,0.6700336666666667,0.166666667,0.6331515625833334,1.0,0.26183195275,0.12362678508333334,0.6717870678333333,1.0,0.0,0.0,0.30208333341666666,0.3299663333333333,0.166666667,0.0,0.19598755283333333,0.0,0.32605879708333335,0.26290414441666665,0.17603364208333336,0.777778333,0.0,0.0,0.0,0.0,0.0,0.0,0.08748565258333334,0.0,0.0,0.0,0.0,0.0,0.6331515625833334,0.1390019945,0.0,0.46536921875000004,0.26183195275,0.022499999999999996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6435183333333333,0.20496482166666666,0.36416226874999996,0.0,0.0,0.0,0.0
Shooter,14027B3A-0AD6-CBA3-A600-42B3C0A4D933,TopDown,0.07638888883333333,0.1666666665,0.18112375,0.166666667,0.9200827343333332,1.0,0.2742288215,0.016530255666666667,0.555555556,1.0,0.016782416666666668,0.041666666666666664,0.07638888883333333,0.8188762500000001,0.166666667,0.0,0.13163254558333334,0.0,0.0,0.06896524308333334,0.11652117899999999,0.777778333,0.0,0.0,0.06712966666666667,0.0,0.016396597250000002,0.03641819416666667,0.005350016416666666,0.0,0.0,0.0,0.0,0.0,0.9200827343333332,0.3116406675,0.0,0.3175536915,0.2742288215,0.0442275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.058694543749999994,0.333333333,0.0,0.0,0.0,1.0
Shooter,14027B3A-0AD6-CBA3-A600-42B3C0A4D933,TopDown,0.303030303,0.333333333,0.7620523636363636,0.18350166690909092,0.43390722945454546,1.0,0.3399543372727273,0.10401006872727271,0.3793107744545454,0.18181818181818182,0.39694041090909093,0.6363636363636364,0.303030303,0.23794763636363633,0.18350166690909092,0.09090909090909091,0.0,0.0,0.0003522013636363636,0.159780534,0.010703229090909091,0.4767116666363636,0.0,0.2752528252727273,0.6818181818181818,0.0,0.4196959596363636,0.354430682,0.08513201845454545,0.0,0.0,0.09278383327272727,0.0,0.0,0.43390722945454546,0.020933832545454542,0.0,0.17366947981818182,0.3399543372727273,0.04325263636363636,0.8634756363636363,0.1156450909090909,0.4241364545454545,0.0,0.1809395549090909,0.22713072245454546,0.05331084372727273,0.09090909090909091,0.16112483554545454,0.47805707054545454,0.0,0.0,0.0,1.0
Shooter,14027B3A-0AD6-CBA3-A600-42B3C0A4D933,TopDown,0.40624999991666666,0.41666666658333334,0.81212125,0.333333333,0.54396461875,1.0,0.31053019625,0.1051492335,0.4729423581666667,0.5,0.027083333333333334,0.041666666666666664,0.40624999991666666,0.18787875,0.333333333,0.0,0.19789425791666668,0.0,0.3701982885833333,0.2727127099166667,0.0072991121666666665,0.333333333,0.0,0.0,0.10833333333333334,0.0,0.12911527783333335,0.15553172266666668,0.06519142641666666,0.0,0.0,0.0,0.0,0.0,0.54396461875,0.24787887041666667,0.0,0.4748208881666667,0.31053019625,0.11390466666666667,1.0,0.0,0.0,0.0,0.022166657833333336,0.0940626295,0.0,0.22348483333333333,0.45181382566666667,0.4859287036666667,0.0,0.0,0.0,1.0
Shooter,14027B3A-0AD6-CBA3-A600-42B3C0A4D933,TopDown,0.2013888888333333,0.27777777750000004,0.46881307499999997,0.3999999998333333,0.21438997625,1.0,0.25776803558333333,0.08998230366666667,0.8924255553333333,1.0,0.3650222701666667,0.5208333333333334,0.2013888888333333,0.531186925,0.3999999998333333,0.08333333333333333,0.0008197647500000001,0.0,0.0,0.07329224833333334,0.005347604583333333,0.06741027775,0.0,0.11805583058333334,0.44410774999999997,0.0,0.4395342825833333,0.5524236470833334,0.08584172933333334,0.0,0.0,0.21717168058333333,0.11115316666666668,0.0,0.21438997625,0.04186660741666667,0.08333333333333333,0.18686406833333333,0.25776803558333333,0.008931416666666666,0.8640046666666666,0.16515308333333334,0.5661057500000001,0.0,0.2549327814166667,0.27329835333333335,0.11172829925,0.92361125,0.6315268528333333,0.4150270835,0.08333333333333333,0.0,0.0,1.0
